game,shots,hits,accuracy
823,29,17,58.620689655172406
824,60,17,28.333333333333332
825,56,17,30.357142857142854
826,50,17,34.0
827,49,17,34.69387755102041
828,33,17,51.515151515151516
829,35,17,48.57142857142857
830,60,17,28.333333333333332
831,51,17,33.33333333333333
832,42,17,40.476190476190474
833,59,17,28.8135593220339
834,32,17,53.125
835,46,17,36.95652173913043
836,75,17,22.666666666666664
837,58,17,29.310344827586203
838,45,17,37.77777777777778
839,48,17,35.41666666666667
840,97,17,17.525773195876287
841,43,17,39.53488372093023
842,44,17,38.63636363636363
843,30,17,56.666666666666664
844,55,17,30.909090909090907
845,60,17,28.333333333333332
846,48,17,35.41666666666667
847,45,17,37.77777777777778
848,59,17,28.8135593220339
849,46,17,36.95652173913043
850,43,17,39.53488372093023
851,81,17,20.98765432098765
852,72,17,23.61111111111111
853,52,17,32.69230769230769
854,60,17,28.333333333333332
855,41,17,41.46341463414634
856,47,17,36.17021276595745
857,53,17,32.075471698113205
858,54,17,31.48148148148148
859,63,17,26.984126984126984
860,57,17,29.82456140350877
861,56,17,30.357142857142854
862,54,17,31.48148148148148
863,35,17,48.57142857142857
864,49,17,34.69387755102041
865,42,17,40.476190476190474
866,55,17,30.909090909090907
867,37,17,45.94594594594595
868,55,17,30.909090909090907
869,56,17,30.357142857142854
870,57,17,29.82456140350877
871,93,17,18.27956989247312
872,41,17,41.46341463414634
873,38,17,44.73684210526316
874,73,17,23.28767123287671
875,60,17,28.333333333333332
876,75,17,22.666666666666664
877,46,17,36.95652173913043
878,60,17,28.333333333333332
879,50,17,34.0
880,41,17,41.46341463414634
881,50,17,34.0
882,53,17,32.075471698113205
883,62,17,27.419354838709676
884,46,17,36.95652173913043
885,39,17,43.58974358974359
886,40,17,42.5
887,36,17,47.22222222222222
888,40,17,42.5
889,45,17,37.77777777777778
890,43,17,39.53488372093023
891,58,17,29.310344827586203
892,39,17,43.58974358974359
893,56,17,30.357142857142854
894,39,17,43.58974358974359
895,52,17,32.69230769230769
896,39,17,43.58974358974359
897,50,17,34.0
898,49,17,34.69387755102041
899,39,17,43.58974358974359
900,90,17,18.88888888888889
901,29,17,58.620689655172406
902,57,17,29.82456140350877
903,59,17,28.8135593220339
904,75,17,22.666666666666664
905,59,17,28.8135593220339
906,47,17,36.17021276595745
907,49,17,34.69387755102041
908,48,17,35.41666666666667
909,52,17,32.69230769230769
910,54,17,31.48148148148148
911,40,17,42.5
912,87,17,19.54022988505747
913,42,17,40.476190476190474
914,47,17,36.17021276595745
915,45,17,37.77777777777778
916,36,17,47.22222222222222
917,46,17,36.95652173913043
918,32,17,53.125
919,50,17,34.0
920,40,17,42.5
921,39,17,43.58974358974359
922,47,17,36.17021276595745
923,49,17,34.69387755102041
924,77,17,22.07792207792208
925,45,17,37.77777777777778
926,46,17,36.95652173913043
927,40,17,42.5
928,39,17,43.58974358974359
929,46,17,36.95652173913043
930,38,17,44.73684210526316
931,57,17,29.82456140350877
932,48,17,35.41666666666667
933,51,17,33.33333333333333
934,41,17,41.46341463414634
935,49,17,34.69387755102041
936,79,17,21.518987341772153
937,41,17,41.46341463414634
938,35,17,48.57142857142857
939,54,17,31.48148148148148
940,39,17,43.58974358974359
941,40,17,42.5
942,29,17,58.620689655172406
